method,reg_val,epoch,layer,unique_pctg
Baseline,0.0,1,conv1,99.98
Baseline,0.0,1,conv3,0.01
Baseline,0.0,1,fc1,0.05
Baseline,0.0,10,conv1,99.98
Baseline,0.0,10,conv3,89.12
Baseline,0.0,10,fc1,11.08
Baseline,0.0,20,conv1,99.98
Baseline,0.0,20,conv3,99.98
Baseline,0.0,20,fc1,54.93
Baseline,0.0,30,conv1,99.98
Baseline,0.0,30,conv3,99.98
Baseline,0.0,30,fc1,96.61999999999999
Baseline,0.0,40,conv1,99.98
Baseline,0.0,40,conv3,99.98
Baseline,0.0,40,fc1,98.92
Baseline,0.0,50,conv1,99.98
Baseline,0.0,50,conv3,99.98
Baseline,0.0,50,fc1,99.49
Baseline,0.0,60,conv1,99.98
Baseline,0.0,60,conv3,99.98
Baseline,0.0,60,fc1,99.85000000000001
BatchNorm,1.0,1,conv1,99.98
BatchNorm,1.0,1,conv3,39.26
BatchNorm,1.0,1,fc1,22.03
BatchNorm,1.0,10,conv1,99.98
BatchNorm,1.0,10,conv3,85.37
BatchNorm,1.0,10,fc1,17.9
BatchNorm,1.0,20,conv1,99.98
BatchNorm,1.0,20,conv3,90.23
BatchNorm,1.0,20,fc1,37.45
BatchNorm,1.0,30,conv1,99.98
BatchNorm,1.0,30,conv3,90.51
BatchNorm,1.0,30,fc1,58.309999999999995
BatchNorm,1.0,40,conv1,99.98
BatchNorm,1.0,40,conv3,90.28
BatchNorm,1.0,40,fc1,63.49
BatchNorm,1.0,50,conv1,99.98
BatchNorm,1.0,50,conv3,88.56
BatchNorm,1.0,50,fc1,65.68
BatchNorm,1.0,60,conv1,99.98
BatchNorm,1.0,60,conv3,88.47
BatchNorm,1.0,60,fc1,68.69
DataAug,2.0,1,conv1,99.98
DataAug,2.0,1,conv3,0.01
DataAug,2.0,1,fc1,0.01
DataAug,2.0,10,conv1,99.98
DataAug,2.0,10,conv3,42.99
DataAug,2.0,10,fc1,11.18
DataAug,2.0,20,conv1,99.98
DataAug,2.0,20,conv3,78.35
DataAug,2.0,20,fc1,9.65
DataAug,2.0,30,conv1,99.98
DataAug,2.0,30,conv3,94.03
DataAug,2.0,30,fc1,14.399999999999999
DataAug,2.0,40,conv1,99.98
DataAug,2.0,40,conv3,98.64
DataAug,2.0,40,fc1,20.61
DataAug,2.0,50,conv1,99.98
DataAug,2.0,50,conv3,99.44
DataAug,2.0,50,fc1,28.310000000000002
DataAug,2.0,60,conv1,99.98
DataAug,2.0,60,conv3,99.86
DataAug,2.0,60,fc1,29.64
Dropout,0.3,1,conv1,99.98
Dropout,0.3,1,conv3,0.01
Dropout,0.3,1,fc1,0.01
Dropout,0.3,10,conv1,99.98
Dropout,0.3,10,conv3,27.04
Dropout,0.3,10,fc1,5.0200000000000005
Dropout,0.3,20,conv1,99.98
Dropout,0.3,20,conv3,77.29
Dropout,0.3,20,fc1,8.19
Dropout,0.3,30,conv1,99.98
Dropout,0.3,30,conv3,97.28
Dropout,0.3,30,fc1,14.069999999999999
Dropout,0.3,40,conv1,99.98
Dropout,0.3,40,conv3,99.66000000000001
Dropout,0.3,40,fc1,19.24
Dropout,0.3,50,conv1,99.98
Dropout,0.3,50,conv3,99.81
Dropout,0.3,50,fc1,31.44
Dropout,0.3,60,conv1,99.98
Dropout,0.3,60,conv3,99.91
Dropout,0.3,60,fc1,35.52
EarlyStopping,8.0,1,conv1,99.98
EarlyStopping,8.0,1,conv3,0.01
EarlyStopping,8.0,1,fc1,0.01
EarlyStopping,8.0,10,conv1,99.98
EarlyStopping,8.0,10,conv3,92.75999999999999
EarlyStopping,8.0,10,fc1,12.85
EarlyStopping,8.0,20,conv1,99.98
EarlyStopping,8.0,20,conv3,99.98
EarlyStopping,8.0,20,fc1,57.85
GaussianNoise,0.01,1,conv1,99.98
GaussianNoise,0.01,1,conv3,0.01
GaussianNoise,0.01,1,fc1,0.01
GaussianNoise,0.01,10,conv1,99.98
GaussianNoise,0.01,10,conv3,96.82
GaussianNoise,0.01,10,fc1,14.01
GaussianNoise,0.01,20,conv1,99.98
GaussianNoise,0.01,20,conv3,99.98
GaussianNoise,0.01,20,fc1,68.35
GaussianNoise,0.01,30,conv1,99.98
GaussianNoise,0.01,30,conv3,99.98
GaussianNoise,0.01,30,fc1,95.3
GaussianNoise,0.01,40,conv1,99.98
GaussianNoise,0.01,40,conv3,99.98
GaussianNoise,0.01,40,fc1,99.37
GaussianNoise,0.01,50,conv1,99.98
GaussianNoise,0.01,50,conv3,99.98
GaussianNoise,0.01,50,fc1,99.7
GaussianNoise,0.01,60,conv1,99.98
GaussianNoise,0.01,60,conv3,99.98
GaussianNoise,0.01,60,fc1,99.79
L1,0.0001,1,conv1,99.97
L1,0.0001,1,conv3,0.01
L1,0.0001,1,fc1,0.01
L1,0.0001,10,conv1,99.98
L1,0.0001,10,conv3,83.14
L1,0.0001,10,fc1,10.71
L1,0.0001,20,conv1,99.98
L1,0.0001,20,conv3,99.67
L1,0.0001,20,fc1,16.13
L1,0.0001,30,conv1,99.98
L1,0.0001,30,conv3,99.97
L1,0.0001,30,fc1,23.95
L1,0.0001,40,conv1,99.98
L1,0.0001,40,conv3,99.98
L1,0.0001,40,fc1,42.26
L1,0.0001,50,conv1,99.98
L1,0.0001,50,conv3,99.98
L1,0.0001,50,fc1,53.54
L1,0.0001,60,conv1,99.98
L1,0.0001,60,conv3,99.98
L1,0.0001,60,fc1,64.86
L2,0.0001,1,conv1,99.98
L2,0.0001,1,conv3,0.01
L2,0.0001,1,fc1,0.01
L2,0.0001,10,conv1,99.98
L2,0.0001,10,conv3,94.08
L2,0.0001,10,fc1,13.26
L2,0.0001,20,conv1,99.98
L2,0.0001,20,conv3,99.98
L2,0.0001,20,fc1,59.45
L2,0.0001,30,conv1,99.98
L2,0.0001,30,conv3,99.98
L2,0.0001,30,fc1,94.37
L2,0.0001,40,conv1,99.98
L2,0.0001,40,conv3,99.98
L2,0.0001,40,fc1,99.07000000000001
L2,0.0001,50,conv1,99.98
L2,0.0001,50,conv3,99.98
L2,0.0001,50,fc1,99.6
L2,0.0001,60,conv1,99.98
L2,0.0001,60,conv3,99.98
L2,0.0001,60,fc1,99.72999999999999
